rid,Name,Stoichiometry,dG,EC
R00768,L-glutamine:D-fructose-6-phosphate isomerase (deaminating),L-Glutamine + D-Fructose 6-phosphate -> L-Glutamate + D-Glucosamine 6-phosphate,-15.645386988563814,2.6.1.16
R01397,carbamoyl-phosphate:L-aspartate carbamoyltransferase,Carbamoyl phosphate + L-Aspartate -> Orthophosphate + N-Carbamoyl-L-aspartate,-22.46843990964112,2.1.3.2
R04903,5-hydroxyindoleacetaldehyde:NAD+ oxidoreductase,NAD+ + 5-Hydroxyindoleacetaldehyde + H2O -> 5-Hydroxyindoleacetate + H+ + NADH,-44.09159181928953,1.2.1.3
R04591,1-(5-phosphoribosyl)-5-amino-4-carboxyimidazole:L-aspartate ligase (ADP-forming),ATP + 1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate + L-Aspartate -> ADP + Orthophosphate + 1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole,-77.44508998563288,6.3.2.6
R02300,S-aminomethyldihydrolipoylprotein:(6S)-tetrahydrofolate aminomethyltransferase (ammonia-forming),"Folinic acid -> 5,10-Methenyltetrahydrofolate + H2O",-44.61865812747493,2.1.2.10
R00177,ATP:L-methionine S-adenosyltransferase,Diphosphate + S-Adenosyl-L-methionine + Orthophosphate <- L-Methionine + ATP + H2O,107.79681647406355,2.5.1.6
R00221,D-serine ammonia-lyase,D-Serine -> Pyruvate + Ammonia,-45.86861454843654,4.3.1.18
R00357,L-aspartic acid:oxygen oxidoreductase (deaminating),Oxygen + L-Aspartate + H2O -> Ammonia + Oxaloacetate + Hydrogen peroxide,-110.23803556464392,1.4.3.2/1.4.3.16
R00228,acetaldehyde:NAD+ oxidoreductase (CoA-acetylating),CoA + Acetaldehyde + NAD+ <-> Acetyl-CoA + H+ + NADH,-3.562931650709828,1.2.1.10
R00551,L-arginine amidinohydrolase,L-Arginine + H2O -> L-Ornithine + Urea,-51.0289993468993,3.5.3.1
R00552,L-arginine iminohydrolase,L-Arginine + H2O -> L-Citrulline + Ammonia,-54.3501670327536,3.5.3.6
EX_C00116,Glycerol,Glycerol <- ,,
R01086,2-(Nomega-L-arginino)succinate arginine-lyase (fumarate-forming),N-(L-Arginino)succinate <-> Fumarate + L-Arginine,-5.548647818854221,4.3.2.1
R01542,2-dehydro-3-deoxy-D-gluconate:NAD+ 5-oxidoreductase,"2-Dehydro-3-deoxy-D-gluconate + NAD+ <-> H+ + (4S)-4,6-Dihydroxy-2,5-dioxohexanoate + NADH",9.1649077875079,1.1.1.125/1.1.1.127
R01221,glycine:NAD+ 2-oxidoreductase (tetrahydrofolate-methylene-adding),"Tetrahydrofolate + NAD+ + Glycine <-> 5,10-Methylenetetrahydrofolate + Ammonia + CO2 + H+ + NADH",4.850418152233573,1.4.1.27
R04638,"7,8-dihydroneopterin 3'-triphosphate diphosphohydrolase","7,8-Dihydroneopterin 3'-triphosphate + H2O -> Diphosphate + Dihydroneopterin phosphate",-71.12314427250479,3.6.1.67
R03197,uroporphyrinogen-III carboxy-lyase,Uroporphyrinogen III -> CO2 + Coproporphyrinogen III,-90.89035961389118,4.1.1.37
R00216,(S)-malate:NADP+ oxidoreductase(oxaloacetate-decarboxylating),(S)-Malate + NADP+ <-> Pyruvate + CO2 + H+ + NADPH,-5.007742919847175,1.1.1.40
R00217,oxaloacetate carboxy-lyase (pyruvate-forming),Oxaloacetate -> Pyruvate + CO2,-31.512817181067632,1.1.1.38/1.1.1.40/4.1.1.112
R03084,3-dehydroquinate hydro-lyase,3-Dehydroquinate <-> 3-Dehydroshikimate + H2O,-5.290246993946141,4.2.1.10
R00317,acetyl phosphate phosphohydrolase,Acetyl phosphate + H2O -> Acetate + Orthophosphate,-60.74700566935939,3.6.1.7
R05176,ADP-D-glycero-D-manno-heptose 6-epimerase,ADP-D-glycero-beta-D-manno-heptose <-> ADP-L-glycero-beta-D-manno-heptose,0.0,5.1.3.20
R03165,hydroxymethylbilane hydro-lyase(cyclizing),Hydroxymethylbilane -> Uroporphyrinogen III + H2O,-313.95385494828395,4.2.1.75
R01968,2'-deoxyguanosine 5'-monophosphate phosphohydrolase,dGMP + H2O -> Deoxyguanosine + Orthophosphate,-31.299361772646414,3.1.3.5/3.1.3.89
R01933,2-oxoadipate dehydrogenase complex,CoA + NAD+ + 2-Oxoadipate -> CO2 + H+ + Glutaryl-CoA + NADH,-32.76227551306329,1.2.1.-
R04779,ATP:D-fructose-6-phosphate 1-phosphotransferase,"beta-D-Fructose 6-phosphate + ATP -> ADP + beta-D-Fructose 1,6-bisphosphate",-21.05010908198551,2.7.1.11
R00673,L-tryptophan indole-lyase (deaminating pyruvate-forming),L-Tryptophan + H2O <-> Indole + Pyruvate + Ammonia,-13.727033541166719,4.1.99.1
R06590,sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glycolaldehydetransferase,Aminofructose 6-phosphate + D-Ribose 5-phosphate <-> Iminoerythrose 4-phosphate + Sedoheptulose 7-phosphate,4.755798833464723,2.2.1.1
R03425,glycine:lipoylprotein oxidoreductase (decarboxylating and acceptor-aminomethylating),Lipoylprotein + Glycine <-> CO2 + [Protein]-S8-aminomethyldihydrolipoyllysine,,1.4.4.2
R01171,butanoyl-CoA:NAD+ trans-2-oxidoreductase,Butanoyl-CoA + NAD+ <- H+ + NADH + Crotonoyl-CoA,50.63361222474123,1.3.1.44
EX_C00312,L-Xylulose,L-Xylulose <- ,,
R07136,(2R)-3-sulfolactate:NAD+ oxidoreductase,(2R)-3-Sulfolactate + NAD+ <- 3-Sulfopyruvate + H+ + NADH,15.619312548966718,1.1.1.37/1.1.1.337
R07891,OPC6-coa acetyl-CoA acyltransferase,Acetyl-CoA + OPC6-CoA <- CoA + 3-Oxo-OPC8-CoA,30.1738203889372,2.3.1.16
R07404,5-amino-1-(5-phospho-D-ribosyl)imidazole:carbon-dioxide ligase (ADP-forming),Aminoimidazole ribotide + ATP + HCO3- -> ADP + Orthophosphate + 5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole,-61.26189049061645,6.3.4.18
R03991,myristoyl-CoA:acetylCoA C-myristoyltransferase,Acetyl-CoA + Tetradecanoyl-CoA <- CoA + 3-Oxopalmitoyl-CoA,30.173820388935837,2.3.1.16/2.3.1.155
R08575,sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase,D-Glyceraldehyde 3-phosphate + Sedoheptulose 7-phosphate <-> D-Erythrose 4-phosphate + D-Fructose 6-phosphate,-0.9380787429734596,2.2.1.2
R01248,L-proline:NAD+ 5-oxidoreductase,NAD+ + L-Proline <- H+ + (S)-1-Pyrroline-5-carboxylate + NADH,44.48911327557266,1.5.1.2
R00714,succinate-semialdehyde:NADP+ oxidoreductase,Succinate semialdehyde + NADP+ + H2O -> Succinate + H+ + NADPH,-42.4204240952231,1.2.1.16/1.2.1.79
R01131,ATP:inosine 5'-phosphotransferase,Inosine + ATP -> IMP + ADP,-24.23011390598174,2.7.1.73
R08157,octanoyl-[acyl-carrier protein] hydrolase,Octanoyl-[acp] + H2O <-> Octanoic acid + Acyl-carrier protein,,3.1.2.21
R01168,L-histidine ammonia-lyase (urocanate-forming),L-Histidine <-> Ammonia + Urocanate,-9.981514871475056,4.3.1.3
R04208,2-(formamido)-N1-(5-phosphoribosyl)acetamidine cyclo-ligase (ADP-forming),2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine + ATP <-> ADP + Orthophosphate + Aminoimidazole ribotide,-11.140466654032963,6.3.3.1
EX_C00124,D-Galactose,D-Galactose <- ,,
R04425,"(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate hydro-lyase","(2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate <-> (Z)-But-2-ene-1,2,3-tricarboxylate + H2O",-2.854631431287885,4.2.1.99
R09805,L-aspartate-4-semialdehyde:NAD+ oxidoreductase,H2O + NAD+ + L-Aspartate 4-semialdehyde -> L-Aspartate + H+ + NADH,-75.6985322288308,1.2.1.-
R03815,dihydrolipoylprotein:NAD+ oxidoreductase,Dihydrolipoylprotein + NAD+ <-> Lipoylprotein + H+ + NADH,,1.8.1.4
R00256,L-glutamine amidohydrolase,L-Glutamine + H2O -> Ammonia + L-Glutamate,-31.460373814728683,1.4.1.13/1.4.1.14/1.4.7.1/2.6.1.85
R01855,2'-deoxyguanosine 5'-triphosphate diphosphohydrolase,dGTP + H2O -> Diphosphate + dGMP,-66.83272381244754,3.6.1.-
EX_C00099,beta-Alanine,beta-Alanine -> ,,
R08645,2-(3'-methylthio)heptylmalate hydroxymutase,2-(7'-Methylthio)heptylmalic acid <-> 3-(7'-Methylthio)heptylmalic acid,4.0848283019684,4.2.1.170
R10994,gamma-L-glutamyl-L-2-aminobutyrate:glycine ligase (ADP-forming),gamma-L-Glutamyl-L-2-aminobutyrate + ATP + Glycine -> Ophthalmate + ADP + Orthophosphate,-28.967212037826208,6.3.2.3
R04441,"(R)-2,3-dihydroxy-3-methylbutanoate hydro-lyase","(R)-2,3-Dihydroxy-3-methylbutanoate -> 3-Methyl-2-oxobutanoic acid + H2O",-36.93065911603594,4.2.1.9
R07764,hydroxyoctadecanoyl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating),(3R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein] <-> (2E)-Octadecenoyl-[acp] + H2O,,2.3.1.-/4.2.1.-
R05647,"D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphohydrolase","D-glycero-beta-D-manno-Heptose 1,7-bisphosphate + H2O -> D-glycero-beta-D-manno-Heptose 1-phosphate + Orthophosphate",-25.767935408854434,3.1.3.82
R01066,2-deoxy-D-ribose-5-phosphate acetaldehyde-lyase (D-glyceraldehyde-3-phosphate-forming),2-Deoxy-D-ribose 5-phosphate <-> D-Glyceraldehyde 3-phosphate + Acetaldehyde,3.1544542957845465,4.1.2.4
R11062,phosphatidylethanolamine:phosphatidylglycerol 3-phosphatidyltransferase,Phosphatidylethanolamine + Phosphatidylglycerol <-> Cardiolipin + Ethanolamine,,2.7.8.-
R02142,XMP:pyrophosphate phosphoribosyltransferase,Diphosphate + Xanthosine 5'-phosphate <- 5-Phospho-alpha-D-ribose 1-diphosphate + Xanthine,27.528684387245647,2.4.2.8/2.4.2.22
EX_C00122,Fumarate,Fumarate -> ,,
R04745,(S)-hydroxyoctanoyl-CoA:NAD+ oxidoreductase,(S)-3-Hydroxyoctanoyl-CoA + NAD+ <- H+ + NADH + 3-Oxooctanoyl-CoA,15.619639702529184,1.1.1.35/1.1.1.211
R02148,guanosine 3'-phosphate phosphohydrolase,Guanosine 3'-phosphate + H2O -> Guanosine + Orthophosphate,-30.70681860521824,3.1.3.6
R01398,carbamoyl-phosphate:L-ornithine carbamoyltransferase,L-Ornithine + Carbamoyl phosphate -> L-Citrulline + Orthophosphate,-30.305986683613547,2.1.3.3
R00425,"GTP 7,8-8,9-dihydrolase (diphosphate-forming)","H2O + GTP -> Formate + Orthophosphate + 2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one",-151.57026218249493,3.5.4.25
R04946,O4-succinyl-L-homoserine:L-selenocysteine Se-(3-amino-3-carboxypropyl)transferase,L-Selenocysteine + O-Succinyl-L-homoserine -> Succinate + L-Selenocystathionine,-46.02975982846908,2.5.1.48
R01569,thymidylate 5'-phosphohydrolase,dTMP + H2O -> Thymidine + Orthophosphate,-26.15607804776868,3.1.3.5/3.1.3.35/3.1.3.89/3.1.3.-
R02147,guanosine:phosphate alpha-D-ribosyltransferase,Guanosine + Orthophosphate <-> Guanine + alpha-D-Ribose 1-phosphate,11.550320988387512,2.4.2.1/2.4.2.15
R00928,acetyl-CoA:propanoate CoA-transferase,Propanoate + Acetyl-CoA <-> Acetate + Propanoyl-CoA,7.055740889249364,2.8.3.1
EX_C00075,UTP,UTP <-> ,,
EX_C00310,D-Xylulose,D-Xylulose <- ,,
R00360,(S)-malate:oxygen oxidoreductase,Oxygen + (S)-Malate -> Oxaloacetate + Hydrogen peroxide,-102.87164526186271,1.1.5.4
R00943,formate:tetrahydrofolate ligase (ADP-forming),Tetrahydrofolate + ATP + Formate <-> 10-Formyltetrahydrofolate + ADP + Orthophosphate,-2.1045293531920706,6.3.4.3
R00194,S-adenosyl-L-homocysteine homocysteinylribohydrolase,S-Adenosyl-L-homocysteine + H2O -> Adenine + S-Ribosyl-L-homocysteine,-33.483072294990535,3.2.2.9
R00189,deamido-NAD+:ammonia ligase (AMP-forming),Ammonia + ATP + Deamino-NAD+ -> Diphosphate + AMP + NAD+,-23.611169368917217,6.3.1.5/6.3.5.1
R03947,S-adenosyl-L-methionine:uroporphyrin-III C-methyltransferase,NAD+ + Precorrin 2 -> Sirohydrochlorin + H+ + NADH,-45.84332061131386,1.3.1.76
R00196,(S)-lactate:ferricytochrome-c 2-oxidoreductase,Ferricytochrome c + (S)-Lactate <-> Pyruvate + H+ + Ferrocytochrome c,,1.1.2.3
R00470,4-hydroxy-2-oxoglutarate glyoxylate-lyase (pyruvate-forming),4-Hydroxy-2-oxoglutarate <-> Pyruvate + Glyoxylate,0.770856970476693,4.1.3.16/4.1.3.42
R06784,"3-(cis-5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate:NAD+ oxidoreductase","NAD+ + cis-3-(Carboxy-ethyl)-3,5-cyclo-hexadiene-1,2-diol -> 3-(2,3-Dihydroxyphenyl)propanoate + H+ + NADH",-61.926475196062256,1.3.1.87
R00966,UMP:diphosphate phospho-alpha-D-ribosyltransferase,Diphosphate + UMP <- Uracil + 5-Phospho-alpha-D-ribose 1-diphosphate,21.229363042828425,2.4.2.9
R05578,L-glutamate:tRNA(Glu) ligase (AMP-forming),L-Glutamate + ATP + tRNA(Glu) <-> Diphosphate + AMP + L-Glutamyl-tRNA(Glu),,6.1.1.17/6.1.1.24
R01056,D-ribose-5-phosphate aldose-ketose-isomerase,D-Ribose 5-phosphate <-> D-Ribulose 5-phosphate,2.140929724765954,5.3.1.6
R01127,"IMP 1,2-hydrolase (decyclizing)",IMP + H2O <- 1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide,19.58927111918979,3.5.4.10
R03504,"7,8-dihydroneopterin glycolaldehyde-lyase [6-(hydroxymethyl)-7,8-dihydropterin-forming]","7,8-Dihydroneopterin <-> 6-(Hydroxymethyl)-7,8-dihydropterin + Glycolaldehyde",-9.96081373685442,4.1.2.25
R03635,stachyose fructohydrolase,Stachyose + H2O -> D-Gal alpha 1->6D-Gal alpha 1->6D-Glucose + D-Fructose,-39.977327001953,3.2.1.26
R02102,2'-deoxyuridine 5'-monophosphate phosphohydrolase,H2O + dUMP -> Orthophosphate + Deoxyuridine,-30.24061996217725,3.1.3.5/3.1.3.89/3.1.3.-
R00964,ATP:uridine 5'-phosphotransferase,Uridine + ATP -> ADP + UMP,-21.405401893444434,2.7.1.48/2.7.1.213
R04533,(3R)-3-hydroxybutanoyl-[acyl-carrier protein]:NADP+ oxidoreductase,(3R)-3-Hydroxybutanoyl-[acyl-carrier protein] + NADP+ <-> H+ + Acetoacetyl-[acp] + NADPH,,1.1.1.100/1.1.1.-/2.3.1.85/2.3.1.86
R01416,agmatine iminohydrolase,Agmatine + H2O -> Ammonia + N-Carbamoylputrescine,-51.70740007415441,3.5.3.12
R02601,4-hydroxy-2-oxopentanoate hydro-lyase (2-oxopent-4-enoate-forming),"2-Hydroxy-2,4-pentadienoate + H2O <-> 4-Hydroxy-2-oxopentanoate",0.43190590209223956,4.2.1.80
EX_C00037,Glycine,Glycine <-> ,,
R05071,(S)-2-acetolactate methylmutase,(S)-2-Acetolactate <-> 3-Hydroxy-3-methyl-2-oxobutanoic acid,0.00017690392297708968,1.1.1.86/5.4.99.3
R00691,L-arogenate hydro-lyase (decarboxylating L-phenylalanine-forming),L-Arogenate -> L-Phenylalanine + CO2 + H2O,-91.31718136145676,4.2.1.51/4.2.1.91
R00517,GTP:cytidine 5'-phosphotransferase,Cytidine + GTP <-> GDP + CMP,-13.03720007556808,2.7.1.48
R04537,(3R)-3-hydroxyoctanoyl-[acyl-carrier-protein] hydro-lyase,(3R)-3-Hydroxyoctanoyl-[acyl-carrier protein] <-> trans-Oct-2-enoyl-[acp] + H2O,,2.3.1.85/2.3.1.86/2.3.1.-/4.2.1.59
EX_C01530,Octadecanoic acid,Octadecanoic acid -> ,,
R03346,nicotinate D-ribonucleotide phosphohydrolase,Nicotinate D-ribonucleotide + H2O -> Orthophosphate + Nicotinate D-ribonucleoside,-44.56404609612892,3.1.3.5/3.1.3.-
R01761,L-arabinose aldose-ketose-isomerase,L-Arabinose <-> L-Ribulose,4.897376812405582,5.3.1.4
EX_C00095,D-Fructose,D-Fructose <- ,,
R05637,2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol CMP-lyase (cyclizing),"2-Phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol <- 2-C-Methyl-D-erythritol 2,4-cyclodiphosphate + CMP",1792.6749155941848,4.6.1.12
R05290,"benzoate/toluate 1,2-dioxygenase","Oxygen + Toluate + H+ + NADH -> cis-1,2-Dihydroxy-4-methylcyclohexa-3,5-diene-1-carboxylate + NAD+",-350.7122928417522,1.14.12.-
R01257,(S)-malate:FAD oxidoreductase,(S)-Malate + FAD <-> Oxaloacetate + FADH2,10.998300078667853,1.1.5.4
R01714,5-O-(1-carboxyvinyl)-3-phosphoshikimate phosphate-lyase (chorismate-forming),5-O-(1-Carboxyvinyl)-3-phosphoshikimate -> Chorismate + Orthophosphate,-62.6753856476601,4.2.3.5
R01279,"palmitoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase",FAD + Palmitoyl-CoA -> FADH2 + trans-Hexadec-2-enoyl-CoA,43.44653966198575,1.3.3.6/1.3.8.7/1.3.8.8/1.3.8.9
EX_C00026,2-Oxoglutarate,2-Oxoglutarate -> ,,
R00087,ATP diphosphohydrolase (diphosphate-forming),ATP + H2O -> Diphosphate + AMP,-60.275977206559475,3.6.1.8/3.6.1.9
R00570,ATP:CDP phosphotransferase,ATP + CDP <-> ADP + CTP,0.2554983978087648,2.7.4.6
R11174,adenosylcobinamide-GDP:alpha-ribazole adenosylcobinamide-phosphotransferase,"Adenosine-GDP-cobinamide + N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole -> GMP + Adenosylcobalamin 5'-phosphate",-86.95681215538798,2.7.8.26
R00749,ethanolamine ammonia-lyase (acetaldehyde-forming),Ethanolamine -> Ammonia + Acetaldehyde,-53.05685078795565,4.3.1.7
R05586,3-Oxopimeloyl-CoA acetyl-CoA acyltransferase,3-Oxopimeloyl-CoA + CoA -> Acetyl-CoA + Glutaryl-CoA,-30.173462365672094,2.3.1.16
R00705,"3-oxopropanoate:NAD+ oxidoreductase (decarboxylating, CoA-acetylating)",CoA + NAD+ + 3-Oxopropanoate -> CO2 + Acetyl-CoA + H+ + NADH,-25.338793546982743,1.2.1.18/1.2.1.27
R09836,2-oxepin-2(3H)-ylideneacetyl-CoA hydrolyase,"2-Oxepin-2(3H)-ylideneacetyl-CoA + H2O <- 3-Oxo-5,6-dehydrosuberyl-CoA semialdehyde",33.949249565207765,3.3.2.12
R03634,Stachyose hydrolase,Stachyose + H2O -> D-Galactose + Raffinose,-16.64617572284547,3.2.1.22
R07268,ATP:cobinamide Cobeta-adenosyltransferase,ATP + Cobinamide <-> Adenosyl cobinamide + Triphosphate,,2.5.1.17
R00396,L-alanine:NAD+ oxidoreductase (deaminating),L-Alanine + NAD+ + H2O <-> Pyruvate + Ammonia + H+ + NADH,16.458126883899553,1.4.1.1
R00573,UTP:L-glutamine amido-ligase (ADP-forming),UTP + ATP + L-Glutamine + H2O -> L-Glutamate + ADP + Orthophosphate + CTP,-38.079388711296275,6.3.4.2
R03223,2-methyl-4-amino-5-hydroxymethylpyrimidine-diphosphate:4-methyl-5-(2-phosphoethyl)-thiazole 2-methyl-4-aminopyridine-5-methenyltransferase,4-Amino-5-hydroxymethyl-2-methylpyrimidine diphosphate + 4-Methyl-5-(2-phosphooxyethyl)thiazole -> Diphosphate + Thiamin monophosphate,-25.92563916414622,2.5.1.3
R01786,ATP:alpha-D-glucose 6-phosphotransferase,alpha-D-Glucose + ATP <-> alpha-D-Glucose 6-phosphate + ADP,-13.906182101829131,2.7.1.1/2.7.1.2
R00713,succinate-semialdehyde:NAD+ oxidoreductase,Succinate semialdehyde + NAD+ + H2O -> Succinate + H+ + NADH,-42.42256819021168,1.2.1.16/1.2.1.24
R01825,D-erythrose 4-phosphate:NAD+ oxidoreductase,NAD+ + D-Erythrose 4-phosphate + H2O -> 4-Phospho-D-erythronate + H+ + NADH,-52.04608881255058,1.2.1.72
R11319,ADP:thiamin-diphosphate phosphotransferase,Thiamin diphosphate + ADP <-> AMP + Thiamin triphosphate,7.320496749963013,2.7.4.3
R04419,5-carboxymethyl-2-hydroxymuconic-semialdehyde:NADP+ oxidoreductase,2-Hydroxy-5-carboxymethylmuconate semialdehyde + NADP+ + H2O -> H+ + 5-Carboxymethyl-2-hydroxymuconate + NADPH,-47.2921153637576,1.1.1.312
R03537,"2',3'-cyclic AMP 3'-nucleotidohydrolase","2',3'-Cyclic AMP + H2O -> 3'-AMP",-33.04270112998529,3.1.4.16
R05309,"1,6-dihydroxy-5-methylcyclohexa-2,4-dienecarboxylate:NAD+ oxidoreductase (decarboxylating)","1,6-Dihydroxy-5-methylcyclohexa-2,4-dienecarboxylate + NAD+ -> 2,3-Dihydroxytoluene + CO2 + H+ + NADH",-85.86336416352916,1.3.1.-
R03968,2-isopropylmalate hydro-lyase,alpha-Isopropylmalate <-> 2-Isopropylmaleate + H2O,0.3915610012759885,4.2.1.33
R00937,"5,6,7,8-tetrahydrofolate:NAD+ oxidoreductase",Tetrahydrofolate + NAD+ <- Folate + H+ + NADH,32.37620606672181,1.5.1.3
EX_C02084,Tetrathionate,Tetrathionate -> ,,
R04673,(S)-2-aceto-2-hydroxybutanoate pyruvate-lyase (carboxylating),2-Oxobutanoate + 2-(alpha-Hydroxyethyl)thiamine diphosphate <-> Thiamin diphosphate + (S)-2-Aceto-2-hydroxybutanoate,8.102743465212257,2.2.1.6
R01354,ATP:propanoate adenylyltransferase,Propanoate + ATP <-> Diphosphate + Propionyladenylate,,6.2.1.1/6.2.1.17
R07417,4-(gamma-L-glutamylamino)butanal:NAD+ oxidoreductase,gamma-Glutamyl-gamma-aminobutyraldehyde + NAD+ + H2O -> 4-(L-gamma-Glutamylamino)butanoate + H+ + NADH,-43.99107127949674,1.2.1.99
R01626,malonyl-CoA:[acyl-carrier-protein] S-malonyltransferase,Acyl-carrier protein + Malonyl-CoA <-> CoA + Malonyl-[acyl-carrier protein],,2.3.1.39/2.3.1.85/2.3.1.86/2.3.1.-
R02549,4-aminobutanal:NAD+ 1-oxidoreductase,H2O + NAD+ + 4-Aminobutyraldehyde -> 4-Aminobutanoate + H+ + NADH,-53.24287878405289,1.2.1.3/1.2.1.19/1.2.1.-
EX_C00221,beta-D-Glucose,beta-D-Glucose <- ,,
R04095,"3-methylbutanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase",3-Methylbutanoyl-CoA + FAD <- 3-Methylcrotonyl-CoA + FADH2,37.4427085092309,1.3.8.4/1.3.8.7
R04292,glycerone phosphate:iminosuccinate alkyltransferase (cyclizing),Orthophosphate + Quinolinate + H2O <- Iminoaspartate + Glycerone phosphate,219.73514834053557,2.5.1.72
R00756,ATP:D-fructose-6-phosphate 1-phosphotransferase,"ATP + D-Fructose 6-phosphate -> ADP + D-Fructose 1,6-bisphosphate",-17.809390497553125,2.7.1.11
R04199,"2,3,4,5-tetrahydrodipicolinate:NADP+ 4-oxidoreductase","2,3,4,5-Tetrahydrodipicolinate + NADP+ + H2O <- (2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate + H+ + NADPH",47.55532917883238,1.17.1.8
EX_C00007,Oxygen,Oxygen <- ,,
R03443,N-acetyl-L-glutamate-5-semialdehyde:NADP+ 5-oxidoreductase (phosphrylating),NADP+ + N-Acetyl-L-glutamate 5-semialdehyde + Orthophosphate <- N-Acetyl-L-glutamate 5-phosphate + H+ + NADPH,21.596947592763996,1.2.1.38
R02017,2'-deoxyadenosine 5'-diphosphate:oxidized-thioredoxin 2'-oxidoreductase,Thioredoxin disulfide + dADP + H2O <- Thioredoxin + ADP,42.71332576429211,1.17.4.1
R00183,adenosine 5'-monophosphate phosphohydrolase,AMP + H2O -> Adenosine + Orthophosphate,-31.687145927357612,3.1.3.5
EX_C00025,L-Glutamate,L-Glutamate -> ,,
R01818,"D-mannose 6-phosphate 1,6-phosphomutase",D-Mannose 6-phosphate <-> D-Mannose 1-phosphate,4.448811526186773,5.4.2.8
R01105,galactan galactohydrolase,H2O <-> D-Galactose,,3.2.1.23
R02036,6-phospho-D-gluconate hydro-lyase (2-dehydro-3-deoxy-6-phospho-D-gluconate-forming),6-Phospho-D-gluconate -> 2-Dehydro-3-deoxy-6-phospho-D-gluconate + H2O,-42.84420216774356,4.2.1.12
R00994,"(2R,3S)-3-methylmalate:NAD+ oxidoreductase",CO2 + 2-Oxobutanoate + H+ + NADH <- NAD+ + D-erythro-3-Methylmalate,19.848066721818242,1.1.1.85
R04148,nicotinate-nucleotide:dimethylbenzimidazole phospho-D-ribosyltransferase,"Nicotinate D-ribonucleotide + Dimethylbenzimidazole -> Nicotinate + H+ + N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole",-23.813226375180307,2.4.2.21
EX_C00244,Nitrate,Nitrate <- ,,
R04125,[protein]-S8-aminomethyldihydrolipoyllysine:tetrahydrofolate aminomethyltransferase (ammonia-forming),"Tetrahydrofolate + [Protein]-S8-aminomethyldihydrolipoyllysine <-> 5,10-Methylenetetrahydrofolate + Ammonia + Dihydrolipoylprotein",,2.1.2.10
R11263,"(2S,3S)-2-hydroxybutane-1,2,3-tricarboxylate hydro-lyase (2-methyl-trans-aconitate forming)",2-Methylcitrate <-> 2-Methyl-trans-aconitate + H2O,-2.852251685012959,4.2.1.117
R05052,L-erythro-4-hydroxyglutamate:2-oxoglutarate aminotransferase,2-Oxoglutarate + L-erythro-4-Hydroxyglutamate <-> L-Glutamate + (4R)-4-Hydroxy-2-oxoglutarate,-9.340136829549465,2.6.1.1/2.6.1.23
R05220,"ATP:cob(I)yrinic acid-a,c-diamide Cobeta-adenosyltransferase","ATP + Cob(I)yrinate a,c diamide <-> Adenosyl cobyrinate a,c diamide + Triphosphate",,2.5.1.17
R01163,L-histidinal:NAD+ oxidoreductase,L-Histidinal + NAD+ + H2O -> L-Histidine + H+ + NADH,-36.38364716325964,1.1.1.23
R02750,ATP:2-deoxy-D-ribose 5-phosphotransferase,2-Deoxy-D-ribose 5-phosphate + ADP <- ATP + Deoxyribose,25.616233303189006,2.7.1.15/2.7.1.229
R02720,XTP pyrophosphohydrolase,XTP + H2O -> Diphosphate + Xanthosine 5'-phosphate,-70.42592474298922,3.6.1.66
R08549,2-oxoglutarate:NAD+ 2-oxidoreductase (CoA-succinylating),CoA + NAD+ + 2-Oxoglutarate -> CO2 + H+ + Succinyl-CoA + NADH,-28.214429651680575,1.2.1.105
R03096,indole-3-acetamide amidohydrolase,(Indol-3-yl)acetamide + H2O -> Ammonia + Indole-3-acetate,-30.796961507527087,3.5.1.4/3.5.1.-
R00999,O-succinyl-L-homoserine succinate-lyase (deaminating 2-oxobutanoate-forming),O-Succinyl-L-homoserine + H2O -> Succinate + Ammonia + 2-Oxobutanoate,-95.92508310282108,2.5.1.48
R00754,ethanol:NAD+ oxidoreductase,NAD+ + Ethanol <- Acetaldehyde + H+ + NADH,18.062499174643563,1.1.1.1/1.1.1.71
